timestamp,download_kbps,upload_kbps,totalRx_mb,totalTx_mb
2026-05-11T09:22:50.165Z,10,352,2087,1197
2026-05-11T09:23:05.097Z,7,354,2087,1202
2026-05-11T09:23:20.063Z,11,357,2087,1208
2026-05-11T09:23:35.126Z,7,353,2087,1213
2026-05-11T09:23:50.129Z,7,353,2087,1218
2026-05-11T09:24:05.132Z,6,355,2088,1224
2026-05-11T09:24:21.466Z,3,2,2088,1224
2026-05-11T09:24:35.139Z,9,199,2088,1227
2026-05-11T09:25:14.811Z,0,0,2088,1233
2026-05-11T09:25:28.510Z,8,198,2088,1236
2026-05-11T09:25:43.503Z,6,173,2089,1238
2026-05-11T09:25:58.519Z,12,181,2089,1241
2026-05-11T09:26:13.500Z,3,2,2089,1241
2026-05-11T09:26:28.483Z,13,479,2089,1249
2026-05-11T09:26:43.499Z,2,2,2089,1249
2026-05-11T09:26:58.526Z,1,0,2089,1249
2026-05-11T09:27:13.607Z,7,7,2089,1249
2026-05-11T09:27:28.692Z,2,1,2089,1249
2026-05-11T09:27:43.590Z,3,2,2089,1249
2026-05-11T09:27:58.611Z,3,2,2089,1249
2026-05-11T09:28:13.956Z,30,9,2090,1249
2026-05-11T09:28:28.534Z,11,4,2090,1249
2026-05-11T09:28:43.583Z,27,179,2090,1252
2026-05-11T09:28:58.586Z,6,208,2090,1255
2026-05-11T09:29:13.575Z,3,1,2090,1255
2026-05-11T09:29:28.564Z,8,2,2091,1255
2026-05-11T09:29:43.565Z,6,175,2091,1258
2026-05-11T09:29:58.707Z,2,1,2091,1258
2026-05-11T09:30:13.605Z,6,183,2091,1261
2026-05-11T09:30:28.631Z,4,10,2091,1261
