time,cpu_percent,ram_percent,network_download_kbps,network_upload_kbps,idle_seconds,timestamp
02:45 pm,14,89,3,3,60,2026-05-11T09:15:19.871Z
02:45 pm,17,90,1,1,75,2026-05-11T09:15:34.925Z
02:45 pm,16,90,4,3,0,2026-05-11T09:15:50.064Z
02:46 pm,23,88,2,5,13,2026-05-11T09:16:04.984Z
02:46 pm,23,88,3,2,28,2026-05-11T09:16:19.992Z
02:46 pm,19,89,1,1,43,2026-05-11T09:16:34.963Z
02:46 pm,18,89,3,1,58,2026-05-11T09:16:49.969Z
02:47 pm,16,89,0,0,73,2026-05-11T09:17:04.995Z
02:47 pm,20,89,5,2,88,2026-05-11T09:17:20.029Z
02:47 pm,21,89,0,0,103,2026-05-11T09:17:35.034Z
02:47 pm,21,90,3,2,118,2026-05-11T09:17:50.062Z
02:48 pm,28,90,1,1,133,2026-05-11T09:18:05.032Z
02:48 pm,22,90,2,2,148,2026-05-11T09:18:20.055Z
02:48 pm,21,92,10,5,163,2026-05-11T09:18:35.159Z
02:48 pm,27,94,11,3,178,2026-05-11T09:18:50.076Z
02:49 pm,17,85,2,1,7,2026-05-11T09:19:05.036Z
02:49 pm,12,85,3,2,9,2026-05-11T09:19:20.083Z
02:49 pm,43,90,2,1,0,2026-05-11T09:19:35.139Z
02:49 pm,26,91,4,2,13,2026-05-11T09:19:50.132Z
02:50 pm,23,92,1,1,9,2026-05-11T09:20:05.106Z
02:50 pm,21,93,3,1,4,2026-05-11T09:20:20.074Z
02:50 pm,24,94,1,1,0,2026-05-11T09:20:35.249Z
02:50 pm,64,91,3,1,0,2026-05-11T09:20:50.967Z
02:51 pm,95,95,216,148,9,2026-05-11T09:21:06.223Z
02:51 pm,26,91,47,203,24,2026-05-11T09:21:20.313Z
02:51 pm,31,94,5,178,3,2026-05-11T09:21:35.134Z
02:51 pm,67,89,5,9,18,2026-05-11T09:21:50.616Z
02:52 pm,9,85,4,176,33,2026-05-11T09:22:05.058Z
02:52 pm,21,90,12,179,48,2026-05-11T09:22:20.123Z
02:52 pm,19,90,16,357,63,2026-05-11T09:22:35.070Z
02:52 pm,25,91,10,352,78,2026-05-11T09:22:50.165Z
02:53 pm,13,88,7,354,93,2026-05-11T09:23:05.097Z
02:53 pm,16,89,11,357,8,2026-05-11T09:23:20.063Z
02:53 pm,11,90,7,353,0,2026-05-11T09:23:35.126Z
02:53 pm,13,92,7,353,13,2026-05-11T09:23:50.129Z
02:54 pm,9,87,6,355,28,2026-05-11T09:24:05.132Z
02:54 pm,19,87,3,2,44,2026-05-11T09:24:21.466Z
02:54 pm,22,93,9,199,59,2026-05-11T09:24:35.139Z
02:55 pm,19,93,0,0,100,2026-05-11T09:25:14.811Z
02:55 pm,27,89,8,198,4,2026-05-11T09:25:28.510Z
02:55 pm,15,90,6,173,19,2026-05-11T09:25:43.503Z
02:55 pm,24,89,12,181,34,2026-05-11T09:25:58.519Z
02:56 pm,16,90,3,2,50,2026-05-11T09:26:13.500Z
02:56 pm,22,93,13,479,6,2026-05-11T09:26:28.483Z
02:56 pm,10,90,2,2,21,2026-05-11T09:26:43.499Z
02:56 pm,17,92,1,0,0,2026-05-11T09:26:58.526Z
02:57 pm,17,92,7,7,0,2026-05-11T09:27:13.607Z
02:57 pm,20,88,2,1,0,2026-05-11T09:27:28.692Z
02:57 pm,18,89,3,2,1,2026-05-11T09:27:43.590Z
02:57 pm,37,91,3,2,2,2026-05-11T09:27:58.611Z
02:58 pm,17,86,30,9,0,2026-05-11T09:28:13.956Z
02:58 pm,11,88,11,4,0,2026-05-11T09:28:28.534Z
02:58 pm,10,88,27,179,6,2026-05-11T09:28:43.583Z
02:58 pm,10,90,6,208,0,2026-05-11T09:28:58.586Z
02:59 pm,4,86,3,1,6,2026-05-11T09:29:13.575Z
02:59 pm,12,88,8,2,0,2026-05-11T09:29:28.564Z
02:59 pm,8,88,6,175,11,2026-05-11T09:29:43.565Z
02:59 pm,92,93,2,1,26,2026-05-11T09:29:58.707Z
03:00 pm,12,89,6,183,41,2026-05-11T09:30:13.605Z
03:00 pm,10,89,4,10,56,2026-05-11T09:30:28.631Z
