time,event,color
12:47 pm,"PowerShell — Inbox (4,519) - sazanth75@gmail.com - Gmail and 4 ",cyan
12:47 pm,PowerShell — EXE File System Monitoring and 4 more pages - Pers,cyan
12:47 pm,PowerShell — New tab and 5 more pages - Personal - Microsoft? E,cyan
12:47 pm,PowerShell — YouTube and 5 more pages - Personal - Microsoft? E,cyan
12:47 pm,PowerShell — New tab and 6 more pages - Personal - Microsoft? E,cyan
12:47 pm,PowerShell — PRD - Search and 6 more pages - Personal - Microso,cyan
12:48 pm,PowerShell — Product Requirements Document(PRD) and its Benefit,cyan
02:54 pm,PowerShell — PC TRACKER - Antigravity - Review Changes,cyan
02:56 pm,PowerShell — PC Tracker - Smart System Activity Monitor,cyan
02:57 pm,"PowerShell — Inbox (4,520) - sazanth75@gmail.com - Gmail and 4 ",cyan
02:57 pm,PowerShell — (6) WhatsApp and 4 more pages - Personal - Microso,cyan
02:57 pm,PowerShell,cyan
02:58 pm,PowerShell — Google Chrome,cyan
02:58 pm,PowerShell — PRD TRD PPT Creation and 4 more pages - Personal -,cyan
03:00 pm,PowerShell (now),cyan
